"ItemID","Description","Barcode","Manufacturer","Qty","UnitPrice",
"602956010821","Marware Case iPhone 5 Stash Black","602956010821","Marware","27","18.101998793959638",
"SW-MONI5-GN","SwitchEasy Case iPhone5 MONSTERS Scrappy","4897017131065","SwitchEasy","1","12.927599884772292",
"602956011101","Marware Case iPhone 5 rEVOLUTION Carbon Fiber","602956011101","Marware","91","14.48159935560227",
"BTI-PinkEU","Amethyst Speaker Bluetooth iPig Pink EU","5391514467089","Amethyst","0","36.212399382090553",
"SW-MONI5-Y","SwitchEasy Case iPhone5 MONSTERS Freaky","4897017131072","SwitchEasy","10","12.927599884772292",
"SW-MONI5-P","SwitchEasy Case iPhone5 MONSTERS Pinky","4897017131096","SwitchEasy","4","12.927599884772292",
"AIHB14","Marware Case iPad Mini C.E.O. Hybrid Pink","602956010715","Marware","63","20.689198649096511",
"SW-COLT5-R","Switcheasy Case iPod Touch5 Colors Red","4897017129604","SwitchEasy","0","12.927599884772292",
"SW-BUTKI5-TU","SwitchEasy Case iPhone5 KIRIGAMI Butterfly Summer","4897017130129","SwitchEasy","2","15.514798938822764",
"KHVB17","Marware Case Fire HD 7 Vibe Red","602956010401","Marware","135","12.927599884772292",
"SW-BUTKI5-BK","SwitchEasy Case iPhone5 KIRIGAMI Butterfly Night","4897017130136","SwitchEasy","11","15.514798938822764",
"CB1-RB-X","X-1 Headphones Flex Red/Blue","689076073912","H2O","10","15.514798938822764",
"IP-1629","PDP Case iPhone 4/4s Captain America Shield","0708056516291","PDP","47","15.514798938822764",
"IP-1730","PDP Case Fire Marvel Venom Returns","0708056517304","PDP","48","15.514798938822764",
"SW-BUTKI5-PU","SwitchEasy Case iPhone5 KIRIGAMI Butterfly Lavendr","4897017130143","SwitchEasy","10","15.514798938822764",
"SW-NUT5-W","Switcheasy Case iPod Touch5 NUDE White","4897017129734","SwitchEasy","1","12.927599884772292",
"SW-BONDI5-W","SwitchEasy Case iPhone5 Bonds Snow White","4897017130730","SwitchEasy","19","18.101998793959638",
"BOUNCER-BLK-BOX","JLab Speaker Bouncer Black","812887012836","JLab","50","67.258797643733033",
"SW-NUT5-BP","Switcheasy Case iPod Touch5 NUDE Pink","4897017129796","SwitchEasy","29","12.927599884772292",
"SW-COLT5-BK","Switcheasy Case iPod Touch5 Colors Slate","4897017129581","SwitchEasy","22","12.927599884772292",
"SW-NUT5-L","Switcheasy Case iPod Touch5 NUDE Lime","4897017129789","SwitchEasy","16","12.927599884772292",
"FLK5-001","Lunatik Case iPhone 5 FLAK Black / Black","852352003662","Minimal","7","18.101998793959638",
"SW-BONDI5-BK","SwitchEasy Case iPhone5 Bonds Bondage Black","4897017130723","SwitchEasy","12","18.101998793959638",
"SW-NUT5-UB","Switcheasy Case iPod Touch5 NUDE UltraBlack","4897017129710","SwitchEasy","18","12.927599884772292",
"SW-CBPM-UB","Switcheasy Case iPad Mini CoverBuddy UltraBlack","4897017130495","SwitchEasy","76","12.927599884772292",
"SW-MONI5-BL","SwitchEasy Case iPhone5 MONSTERS Wicky","4897017131089","SwitchEasy","10","12.927599884772292",
"SW-DAHI5-W","SwitchEasy Case iPhone5 Dahlia Sparkling White","4897017130686","SwitchEasy","3","15.514798938822764",
"JI-1519","Jivo Case iPad Mini Stand function Candy Pink","5391514467638","Jivo Technology","518","20.689198649096511",
"FLK5-002","Lunatik Case iPhone 5 FLAK Black / White","852352003679","Minimal","23","18.101998793959638",
"SW-BONDI5-GN","SwitchEasy Case iPhone5 Bonds Grenade Green","4897017130747","SwitchEasy","19","18.101998793959638",
"TT5L-002","Lunatik Case iPhone 5 STRIKE White / Blk / Silver","852352003570","Minimal","23","41.386799092364299",
"JK-PURPLE-BOX","JLab Headphones JBuddies Purple","812887012614","JLab","2","12.927599884772292",
"AIVB11","Marware Case iPad Mini Vibe Black","602956011347","Marware","28","15.514798938822764",
"AIVB15","Marware Case iPad Mini Vibe Blue","602956011378","Marware","35","15.514798938822764",
"SW-NUT5-R","Switcheasy Case iPod Touch5 NUDE Red","4897017129741","SwitchEasy","14","12.927599884772292",
"AIAX1042","Marware Case iPad Mini Axis Tan","602956010777","Marware","15","23.276398504233384",
"AIAX11","Marware Case iPad Mini Axis Black","602956010760","Marware","23","23.276398504233384",
"AIAX17","Marware Case iPad Mini Axis Red","602956011606","Marware","39","23.276398504233384",
"AIHB17","Marware Case iPad Mini C.E.O. Hybrid Red","602956010654","Marware","28","20.689198649096511",
"AIMF15","Marware Case iPad Mini MicroShell Folio Blue","602956010753","Marware","34","18.101998793959638",
"SW-CBPM-UC","Switcheasy Case iPad Mini CoverBuddy UltraClear","4897017130587","SwitchEasy","80","12.927599884772292",
